minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
930,090400_1..S02R,local,Tuesday,1458675026,1458675756,False
930,090900_1..S02R,local,Tuesday,1458675401,1458676091,False
930,091400_1..S02R,local,Tuesday,1458675657,1458676347,False
930,091900_1..S02R,local,Tuesday,1458675901,1458676591,False
930,092400_1..S02R,local,Tuesday,1458676191,1458676881,False
930,092900_1..S02R,local,Tuesday,1458676453,1458677143,False
930,088150_2..S01X005,express,Tuesday,1458675292,1458675712,False
930,089050_2..S01R,express,Tuesday,1458675786,1458676206,False
930,089800_2..S01R,express,Tuesday,1458676199,1458676619,False
930,090550_2..S01R,express,Tuesday,1458676596,1458677016,False
930,091350_2..S01R,express,Tuesday,1458676889,1458677309,False
930,092300_2..S01R,express,Tuesday,1458677353,1458677773,False
930,092950_2..S01R,express,Tuesday,1458677572,1458678022,False
930,091800_3..S01R,express,Tuesday,1458675019,1458675469,False
930,092200_3..S01R,express,Tuesday,1458675427,1458675847,False
930,092750_3..S01R,express,Tuesday,1458675589,1458676009,False
931,090400_1..S02R,local,Tuesday,1458675033,1458675753,True
931,090900_1..S02R,local,Tuesday,1458675344,1458676034,True
931,091400_1..S02R,local,Tuesday,1458675655,1458676345,True
931,091900_1..S02R,local,Tuesday,1458675883,1458676573,True
931,092400_1..S02R,local,Tuesday,1458676182,1458676872,True
931,092900_1..S02R,local,Tuesday,1458676476,1458677166,True
931,088150_2..S01X005,express,Tuesday,1458675083,1458675729,False
931,089050_2..S01R,express,Tuesday,1458675807,1458676227,False
931,089800_2..S01R,express,Tuesday,1458676199,1458676619,False
931,090550_2..S01R,express,Tuesday,1458676595,1458677015,False
931,091350_2..S01R,express,Tuesday,1458676889,1458677309,False
931,092300_2..S01R,express,Tuesday,1458677331,1458677751,False
931,092950_2..S01R,express,Tuesday,1458677550,1458678000,False
931,092200_3..S01R,express,Tuesday,1458675438,1458675858,False
931,092750_3..S01R,express,Tuesday,1458675598,1458676018,False
932,090900_1..S02R,local,Tuesday,1458675372,1458676062,True
932,091400_1..S02R,local,Tuesday,1458675634,1458676324,True
932,091900_1..S02R,local,Tuesday,1458675920,1458676610,True
932,092400_1..S02R,local,Tuesday,1458676182,1458676872,True
932,092900_1..S02R,local,Tuesday,1458676462,1458677152,True
932,088150_2..S01X005,express,Tuesday,1458675134,1458675729,False
932,089050_2..S01R,express,Tuesday,1458675726,1458676146,False
932,089800_2..S01R,express,Tuesday,1458676189,1458676609,False
932,090550_2..S01R,express,Tuesday,1458676599,1458677019,False
932,091350_2..S01R,express,Tuesday,1458676889,1458677309,False
932,092300_2..S01R,express,Tuesday,1458677327,1458677747,False
932,092950_2..S01R,express,Tuesday,1458677544,1458677994,False
932,092200_3..S01R,express,Tuesday,1458675453,1458675873,False
932,092750_3..S01R,express,Tuesday,1458675559,1458675979,False
933,090900_1..S02R,local,Tuesday,1458675369,1458676059,False
933,091400_1..S02R,local,Tuesday,1458675654,1458676344,False
933,091900_1..S02R,local,Tuesday,1458675920,1458676610,False
933,092400_1..S02R,local,Tuesday,1458676230,1458676920,False
933,092900_1..S02R,local,Tuesday,1458676462,1458677152,False
933,088150_2..S01X005,express,Tuesday,1458675174,1458675729,False
933,089050_2..S01R,express,Tuesday,1458675716,1458676136,False
933,089800_2..S01R,express,Tuesday,1458676198,1458676618,False
933,090550_2..S01R,express,Tuesday,1458676637,1458677057,False
933,091350_2..S01R,express,Tuesday,1458676906,1458677326,False
933,092300_2..S01R,express,Tuesday,1458677342,1458677762,False
933,092950_2..S01R,express,Tuesday,1458677544,1458677994,False
933,092200_3..S01R,express,Tuesday,1458675448,1458675868,False
933,092750_3..S01R,express,Tuesday,1458675591,1458676011,False
934,090900_1..S02R,local,Tuesday,1458675393,1458676083,True
934,091400_1..S02R,local,Tuesday,1458675640,1458676330,True
934,091900_1..S02R,local,Tuesday,1458675923,1458676613,True
934,092400_1..S02R,local,Tuesday,1458676247,1458676937,True
934,092900_1..S02R,local,Tuesday,1458676472,1458677162,True
934,093400_1..S02R,local,Tuesday,1458676813,1458677503,True
934,088150_2..S01X005,express,Tuesday,1458675231,1458675681,False
934,089050_2..S01R,express,Tuesday,1458675679,1458676099,False
934,089800_2..S01R,express,Tuesday,1458676198,1458676618,False
934,090550_2..S01R,express,Tuesday,1458676597,1458677017,False
934,091350_2..S01R,express,Tuesday,1458676972,1458677392,False
934,092300_2..S01R,express,Tuesday,1458677306,1458677726,False
934,092950_2..S01R,express,Tuesday,1458677559,1458678009,False
934,092200_3..S01R,express,Tuesday,1458675256,1458675884,False
934,092750_3..S01R,express,Tuesday,1458675585,1458676005,False
935,090900_1..S02R,local,Tuesday,1458675336,1458676100,True
935,091400_1..S02R,local,Tuesday,1458675600,1458676290,True
935,091900_1..S02R,local,Tuesday,1458675901,1458676591,True
935,092400_1..S02R,local,Tuesday,1458676235,1458676925,True
935,092900_1..S02R,local,Tuesday,1458676487,1458677177,True
935,093400_1..S02R,local,Tuesday,1458676820,1458677510,True
935,089050_2..S01R,express,Tuesday,1458675682,1458676102,False
935,089800_2..S01R,express,Tuesday,1458676183,1458676603,False
935,090550_2..S01R,express,Tuesday,1458676629,1458677049,False
935,091350_2..S01R,express,Tuesday,1458677026,1458677446,False
935,092300_2..S01R,express,Tuesday,1458677329,1458677749,False
935,092950_2..S01R,express,Tuesday,1458677560,1458678010,False
935,092200_3..S01R,express,Tuesday,1458675327,1458675884,False
935,092750_3..S01R,express,Tuesday,1458675332,1458676012,False
936,090900_1..S02R,local,Tuesday,1458675355,1458676075,False
936,091400_1..S02R,local,Tuesday,1458675624,1458676314,False
936,091900_1..S02R,local,Tuesday,1458675896,1458676586,False
936,092400_1..S02R,local,Tuesday,1458676256,1458676946,False
936,092900_1..S02R,local,Tuesday,1458676471,1458677161,False
936,093400_1..S02R,local,Tuesday,1458676821,1458677511,False
936,089050_2..S01R,express,Tuesday,1458675702,1458676122,False
936,089800_2..S01R,express,Tuesday,1458676237,1458676657,False
936,090550_2..S01R,express,Tuesday,1458676626,1458677046,False
936,091350_2..S01R,express,Tuesday,1458677026,1458677446,False
936,092300_2..S01R,express,Tuesday,1458677313,1458677733,False
936,092950_2..S01R,express,Tuesday,1458677555,1458678005,False
936,092200_3..S01R,express,Tuesday,1458675386,1458675836,False
936,092750_3..S01R,express,Tuesday,1458675384,1458676012,False
936,093600_3..S01R,express,Tuesday,1458676263,1458676683,False
937,091400_1..S02R,local,Tuesday,1458675621,1458676311,True
937,091900_1..S02R,local,Tuesday,1458675910,1458676600,True
937,092400_1..S02R,local,Tuesday,1458676239,1458676929,True
937,092900_1..S02R,local,Tuesday,1458676527,1458677217,True
937,093400_1..S02R,local,Tuesday,1458676835,1458677525,True
937,089050_2..S01R,express,Tuesday,1458675446,1458676136,False
937,089800_2..S01R,express,Tuesday,1458676245,1458676665,False
937,090550_2..S01R,express,Tuesday,1458676644,1458677064,False
937,091350_2..S01R,express,Tuesday,1458677014,1458677434,False
937,092300_2..S01R,express,Tuesday,1458677313,1458677733,False
937,092950_2..S01R,express,Tuesday,1458677564,1458678014,False
937,092200_3..S01R,express,Tuesday,1458675386,1458675836,False
937,092750_3..S01R,express,Tuesday,1458675440,1458676012,False
937,093600_3..S01R,express,Tuesday,1458676217,1458676637,False
938,091400_1..S02R,local,Tuesday,1458675652,1458676342,True
938,091900_1..S02R,local,Tuesday,1458675904,1458676594,True
938,092400_1..S02R,local,Tuesday,1458676259,1458676949,True
938,092900_1..S02R,local,Tuesday,1458676507,1458677197,True
938,093400_1..S02R,local,Tuesday,1458676830,1458677520,True
938,093900_1..S02R,local,Tuesday,1458677083,1458677773,True
938,089050_2..S01R,express,Tuesday,1458675516,1458676136,False
938,089800_2..S01R,express,Tuesday,1458676295,1458676715,False
938,090550_2..S01R,express,Tuesday,1458676667,1458677087,False
938,091350_2..S01R,express,Tuesday,1458677032,1458677452,False
938,092300_2..S01R,express,Tuesday,1458677370,1458677790,False
938,092950_2..S01R,express,Tuesday,1458677555,1458678005,False
938,093800_2..S01R,express,Tuesday,1458678264,1458678714,False
938,092750_3..S01R,express,Tuesday,1458675521,1458675971,False
938,093600_3..S01R,express,Tuesday,1458676217,1458676637,False
939,091400_1..S02R,local,Tuesday,1458675560,1458676356,False
939,091900_1..S02R,local,Tuesday,1458675904,1458676594,False
939,092400_1..S02R,local,Tuesday,1458676249,1458676939,False
939,092900_1..S02R,local,Tuesday,1458676523,1458677213,False
939,093400_1..S02R,local,Tuesday,1458676830,1458677520,False
939,093900_1..S02R,local,Tuesday,1458677059,1458677749,False
939,089050_2..S01R,express,Tuesday,1458675561,1458676136,False
939,089800_2..S01R,express,Tuesday,1458676295,1458676715,False
939,090550_2..S01R,express,Tuesday,1458676669,1458677089,False
939,091350_2..S01R,express,Tuesday,1458676992,1458677412,False
939,092300_2..S01R,express,Tuesday,1458677377,1458677797,False
939,092950_2..S01R,express,Tuesday,1458677516,1458677966,False
939,093800_2..S01R,express,Tuesday,1458678239,1458678689,False
